Destino,web_scraper_order,Fuente,Fecha de Publicación,Título del Comentario,Fecha de Viaje,Tipo de Viaje,Comentario,País,Residente/Extranjero,Comunidad o Ciudad Autónoma
Museo del Baile Flamenco,1775652383-2,TripAdvisor,5/10/2025,Gran flamenco,25-Oct,Viajó solo,Muy interesante escenario y los actos fueron todos muy buenos. El canto también. Lo recomiendo más que los lugares más grandes!,Reino Unido,Extranjero,No aplica
Palacio de Las Dueñas,1775613239-6,TripAdvisor,20/05/2025,La hora de check-in puede ser confusa al reservar en línea. Muy recomendable,25-May,Viajó en pareja,"Pagamos la visita guiada de inglés, como suele ocurrir en España, la web no fue clara a la hora de reservar las entradas. Indicaba un 11. 00 am inicio, pero luego había un mensaje que decía Check - en 11. 50 ? ? Por suerte llegamos temprano y el tour comenzó a las 11. 00 am. Carlos era nuestro Guía, era muy informativo y extremadamente amable y orgulloso de su ciudad natal. Tanto la casa como los jardines son extraordinarios, jardines mucho más bonitos que el Real Alcázar aunque mucho más pequeños. No hay instalaciones de comida o bebida, pero un montón cerca, podemos recomendar café Syra o El Riconcillo para tapas o al otro lado de la carretera de El R es un bar encantador. Fuimos un domingo y el barrio era muy vibrante.",Australia,Extranjero,No aplica
Museo de Bellas Artes,1775613666-2,TripAdvisor,22/05/2025,Llevese dinero en efectivo para la entrada - Visita obligada de arquitectura en Sevilla,25-May,Viajó en pareja,"Este museo es una joya arquitectónica y tiene hermosos jardines en el patio, además de la colección de arte mayoritariamente religioso. El arte religioso no es mi favorito, pero las obras aquí son magníficas y la forma en que están organizadas en una colección de habitaciones fácil de seguir hace que sea una visita simple y sin problemas. En las primeras habitaciones el arte se cuelga en paredes modernas pintadas de color oscuro para resaltar las obras de arte, pero lo que roba la muestra es la nave con techo de barril de la iglesia que una vez fue Monasterio y que es una mandíbula increíblemente hermosa. Entrada, solo efectivo, 1. 50 E para los no europeos, 1 E para los europeos es un robo. Venga solo por los jardines y la arquitectura, luego sorpréndase gratamente de las obras de arte que se exhiben.",Australia,Extranjero,No aplica
Isla Mágica,1775652211-2,TripAdvisor,30/09/2025,EN UN SOLO DIA NO PUEDES DISFRUTAR DE  LAS ATRACCCIONES HAY MUCHA COLA,25-Sep,No especificado,"VISITARLO CON BEBÉS, NO RECOMENDABLE Y MENOS EN DÍAS CALUROSOS, Y SOBRE TODO NO PUEDES DISFRUTAR DE LAS ATRACCIONES Y LA COMIDA UN POCO CARA PARA LA CALIDAD QUE SE OFRECE.",No especificado,No especificado,No aplica
Setas de Sevilla,1775613735-5,TripAdvisor,4/12/2025,Al atardecer Sevilla se vuelve mágica,25-Nov,Viajó con amigos,"Es muy agradable recorrer el largo camino a unos 30 metros de altura; hay una hermosa vista de toda Sevilla. En la entrada hay una interesante película interactiva. Mi consejo es subir justo antes del atardecer para disfrutar de las vistas y, cuando cae la noche, el espectáculo de luces de la ciudad lo convierte todo en algo mágico. Hay una pequeña sala con sofás y máquinas expendedoras. Las entradas a la hora de la puesta de sol en temporada alta se agotan con facilidad, por lo que es mejor reservarlas con antelación. El precio del billete es de 16 euros. Una experiencia que hay que vivir",Italia,Extranjero,No aplica
Plaza de España,1775612300-9,TripAdvisor,4/12/2025,Visita obligada,25-Nov,Viajó con amigos,"No estaba preparado para la grandiosidad del monumento, pero realmente me sorprendió. La arquitectura de la plaza sorprende por su originalidad, grandeza y crea un ambiente fascinante. Construida en 1929 para la Exposición Americana, la plaza es semicircular y está bordeada a ambos lados por dos torres con una fuente en el centro. Está decorada en ladrillo visto, mármol y cerámica. Hay un canal, navegable con tiempo cálido, que atraviesa la plaza por cuatro puentes, luego bancos y adornos de cerámica, con azulejos, que representan las 48 provincias españolas. Es una de las plazas más espectaculares y emotivas que he visto nunca. En cuatro días en Sevilla la visité dos veces, quería grabarla en mi mente.
Visita obligada",Italia,Extranjero,No aplica
Isla Mágica,1775652277-5,TripAdvisor,16/01/2025,para pasar buenos ratos con la familia,24-Aug,No especificado,"respecto a hace unos años, el parque mejoro bastante tanto en decoración como en la comida que ofrece. Estuvimos la temporada entera ya que somos poseedores del pase, y la verdad que muy bien",No especificado,No especificado,No aplica
Setas de Sevilla,1775609492-7,TripAdvisor,27/12/2025,Muy pobre valor,25-Dec,Viajó en pareja,"Simplemente enormemente caro para lo que se ofrece. Si fuera de 5€ sería un valor razonable. Por favor, no desperdicies el dinero que tanto te costó ganar... Hay muchas mejores cosas que ver y hacer en Sevilla.",No especificado,No especificado,No aplica
Isla Mágica,1775652257-4,TripAdvisor,2/7/2025,En general todo muy bien.,25-Jun,No especificado,"Excelente. Pasamos un día muy agusto con mis nietas 
Un poco de calor pero hay muchos sitios donde refrescarse, volveremos",No especificado,No especificado,No aplica
Isla Mágica,1775652248-2,TripAdvisor,5/8/2025,Un dia estupendo,25-Jul,No especificado,"Pasamos un dia estupendo. Teniamos entradas para Isla Magica y Agua Magica. Preferimos Isla Magica. En el parque acuatico habia muchas colas pero en el tematico no. La comida, bastante cara. El parque es muy bonito. Hay atracciones para toda la familia. Incluso para los que no nos gustan los cacharros estos. Recomiendo ir. Aunque hace mucho calor, hay mucha agua en las atracciones que te mantienen fresquito. Lo que no me gusto es que no me aceptaron el informe medico de mi hija, que es diabetica, por ser del extranjero (mis hijos han nacido en el extranjero). Deberian tener en cuenta a las familias de fuera que no poseemos carnet de discapacidad español. Es un parque orientado a la familia.  Cualquier ayuda a familias con niños con problemas medicos supone la diferencia entre pasar un buen dia o estar estresado por las altas temperaturas y como pueden afectar al niño. Esto es algo que cuidan mucho en otros paises que hemos visutado y la verdad es que se aprecia. Aun asi, volveremos",No especificado,No especificado,No aplica
Real Alcázar de Sevilla,1775608799-2,TripAdvisor,23/02/2026,Real Alcázar,26-Feb,Viajó con amigos,"Un magnífico palacio con cuidados jardines llenos de plantas de muchas especies.
Una visita obligada que reúne una mezcla de estilos y poblaciones diferentes.",No especificado,No especificado,No aplica
Setas de Sevilla,1775609476-2,TripAdvisor,23/02/2026,Setas de Sevilla,26-Feb,Viajó con amigos,"Un edificio futurista, dinámico y espectacular en pleno centro de la ciudad.
Se recomienda una visita a última hora de la tarde para admirar una impresionante puesta de sol.",No especificado,No especificado,No aplica
Plaza de España,1775612307-4,TripAdvisor,23/11/2025,¡Precioso!,25-Nov,No especificado,"Un lugar emblemático de España, ¡no sólo de Sevilla! Lástima que ahora no haya agua en el canal porque pierde parte de su magia, pero se merece al menos una , ¡espectacular!",Italia,Extranjero,No aplica
Catedral de Sevilla,1775612737-1,TripAdvisor,23/11/2025,Hermoso y emocionante.,25-Nov,No especificado,"Es un espectáculo para la vista, se respira historia, ¡junto con la torre de la Giralda vale el precio de la entrada! ¡¡¡Una atracción imprescindible cuando se visita esta maravillosa ciudad!!!",Italia,Extranjero,No aplica
Barrio Santa Cruz,1775613437-7,TripAdvisor,3/3/2026,hermoso,26-Feb,No especificado,bonita experiencia para pasar todos juntos paseando y perdiendonos en el tiempo del Barrio en el corazón de Andalucía,Italia,Extranjero,No aplica
Catedral de Sevilla,1775608501-10,TripAdvisor,23/02/2026,Catedral de Sevilla,26-Feb,Viajó con amigos,"Un lugar espectacular, la tercera catedral más grande del mundo de estilo gótico.
Inmensa, con vidrieras y juegos de luces.
No se pierda la impresionante subida a la Giralda, desde donde podrá admirar toda Sevilla.",No especificado,No especificado,No aplica
Plaza de España,1775612300-8,TripAdvisor,9/12/2025,Una visita obligada,25-Dec,No especificado,"No estaba preparado para la grandeza del monumento. Realmente me sorprendió. La arquitectura de la plaza impresiona con originalidad y grandeza y crea un ambiente de gran encanto. Los azulejos que ilustran las diversas regiones de España son hermosos. Es un lugar para caminar despacio, para tomarlo todo y para sorprenderse gratamente de que algo tan cinematográfico esté ahí, libre y esperando. Hay muchos artistas callejeros que cantando y tocando hacen que la visita sea aún más hermosa. Una visita obligada en Sevilla.",No especificado,No especificado,No aplica
Real Alcázar de Sevilla,1775612993-5,TripAdvisor,23/03/2025,Decepcionado porque los jardines no están abiertos,25-Mar,Viajó en pareja,"Hermoso palacio, pero los jardines no abren hoy, debido a la lluvia y el viento de ayer. Realmente decepcionado. El personal no puede decirnos si los jardines abren mañana. Palacio Las Duenas mucho más acogedor, sus jardines estuvieron abiertos ayer.",No especificado,No especificado,No aplica
Catedral de Sevilla,1775612744-5,TripAdvisor,4/9/2025,Una visita obligada en Sevilla.,25-Aug,Viajó en pareja,"Clasificada como la 3a catedral más grande del mundo, este lugar cumple con las expectativas. Entramos primero por la calle Gerald’s y subimos los 40 pisos a través de rampas para acceder a la torre. Fantásticas vistas de toda la ciudad. ¡Cuidado con las campanas que suenan cada cuarto de hora y son ensordecedoras mientras estás justo debajo de ellas! La entrada a la catedral se encuentra en la parte inferior de las rampas de la torre. Algunas zonas hermosas en la catedral, aunque nos decepcionaron en el altar mayor que parecía ridículamente ostentoso y goteando de oro.",No especificado,No especificado,No aplica
Plaza de España,1775607934-5,TripAdvisor,20/03/2026,Gran espacio para pasear,26-Mar,Viajó en pareja,"Fantástico espacio, hermoso edificio y barcos de remo de alquiler. Preciosos jardines para pasear con algunas estatuas lindas",Reino Unido,Extranjero,No aplica
Casa de Pilatos,1775613354-7,TripAdvisor,21/03/2026,Vale la pena una visita,26-Mar,Viajó en pareja,"No planeé bien, así que no hay entradas para el Real Alcázar disponibles. Visitamos aquí en su lugar y fue una gran decisión. Hermoso lugar, sin grandes multitudes y mucho tiempo para admirar los azulejos de cerámica, estatuas y jardines",Reino Unido,Extranjero,No aplica
Setas de Sevilla,1775609445-9,TripAdvisor,21/03/2026,No pierdas tiempo ni dinero aquí,26-Mar,Viajó en pareja,"Experiencia decepcionante en general. Las vistas están obstruidas por unidades de aire acondicionado en la azotea de edificios vecinos, mucho mejor desde la torre Giralda de la Catedral. La película es bastante promedio, no informativa sobre la ciudad. A pesar de que el ascensor te lleva hasta allí todavía hay muchas escaleras para subir al mirador y se espera que desciendas a través de escaleras, no el ascensor. Espectáculo de luz solo después de la puesta del sol, aunque se le cobrará por ello. Lo peor de todo era el personal desagradable hosco, formación de servicio al cliente que se necesita urgentemente. ¿Quizá intentar sonreír a los clientes? No recomendaría una visita aquí",Reino Unido,Extranjero,No aplica
Catedral de Sevilla,1775608464-10,TripAdvisor,21/03/2026,Hermosa,26-Mar,Viajó en pareja,Increíble catedral. Tantos lugares para visitar dentro de ella. Sube a la torre de la Giralda para disfrutar de espectaculares vistas de la ciudad en todas direcciones.,Reino Unido,Extranjero,No aplica
Palacio de la Condesa de Lebrija,1775608955-9,TripAdvisor,28/10/2025,Fusión de estilo y tradición.,25-Oct,Viajó en pareja,"Palacio histórico del siglo XVI en Sevilla, transformado en museo por doña Regla Manjón.

Es como un ""autorretrato"" de la condesa debido a la forma en que organizó sus colecciones en la casa.

En la Planta baja: Alberga la mayor parte de las piezas arqueológicas, con un fuerte énfasis en mosaicos romanos, incluyendo el mosaico ""Los Amores de Zeus"" de Itálica.   En la Planta alta: Decorada con piezas de arte decorativo, como yeserías neomudéjares y azulejos históricos.   El Salón rojo y biblioteca: Exhiben la colección pictórica y retratos de familiares, y en la biblioteca se encuentra la colección bibliográfica de la condesa, que incluía más de 6,000 ejemplares  Lo más destacado ?; 

El Zaguán: Decorado con azulejos del siglo XVI y mármoles italianos. 

El Patio principal: Presenta una estructura porticada con yeserías y el mosaico de ""Los Amores de Zeus"". 

La Escalera: Reemplazó una escalera más angosta por una de tres tramos, y está adornada con artesonados y frescos del antiguo Palacio de los Ponces de León.",España,Residente,Islas Canarias
Real Alcázar de Sevilla,1775612966-6,TripAdvisor,4/9/2025,Falta de inversión,25-Nov,No especificado,"Impresionante arquitectura, pero la recordaba más cuidada. Los jardines carecen del esplendor de hace años y el personal, en concreto el de la tienda, muy poco profesional. Deberían invertir el dinero de las entradas en el mantenimiento y mejora de lo que en su día debió ser una auténtica maravilla.",España,Residente,Castilla y León
Plaza de España,1775612319-10,TripAdvisor,4/9/2025,Impresionante!,25-Aug,Viajó en pareja,"Un espacio abierto público increíble. Lleno de historia y hermosa arquitectura. Algo malcriados por los vendedores ambulantes vendiendo tat pero eran fáciles de ignorar. Visitamos el fin de semana cuando estaba lleno de gente, pero volvimos de nuevo durante la semana, cuando era mucho más tranquilo. Gran exposición de bailaores de flamenco el fin de semana. Sin duda un lugar para ver y pasear.",No especificado,No especificado,No aplica
Real Alcázar de Sevilla,1775608851-8,TripAdvisor,21/12/2025,¡Magnífico!,25-Nov,Viajó con amigos,"Una de las visitas obligadas de Sevilla El monumento más bonito de la ciudad. Además de estar impregnada de historia. La visita dura unas 2 horas, e incluso más si desea permanecer en los jardines. 
No habíamos podido coger un guía cuando hicimos la reserva, pero al final los guías oficiales del Real Alcázar (francés, inglés, español e italiano) se acercaron a nosotros en la cola. El guía, Paco, es un apasionado de la historia y lo pasamos muy bien. Pagamos 10 euros/persona al final.
Muchas gracias a Paco.",Francia,Extranjero,No aplica
Isla Mágica,1775652211-6,TripAdvisor,28/11/2025,Empleados de 10 que merecen mejores condiciones de trabajo.,25-Sep,Viajó con amigos,"Me gusta ir al menos una vez al año. Este año tengo que agradecer el trato recibido por una de las chicas que trabaja en el espectáculo del vuelo de aves. Me dio un golpe de calor y me sentí indispuesta y estuvo en todo momento pendiente de mí. Creo que por bien de los empleados deberían climatizar mejor sus zonas de trabajo. Ya que yo voy una vez al año, pero ellos pasan allí muchas horas a temperaturas muy duras de aguantar. E incluso algunos llevan vestuarios nada adecuados para soportar las calores. Eso es algo que creo es mejorable. Por lo demás me encanta Isla Màgica.",No especificado,No especificado,No aplica
Isla Mágica,1775652257-6,TripAdvisor,30/06/2025,Diversión,25-Jun,Viajó en pareja,"Lo pasamos muy bien, especialmente en el rápido paseo por el río. Las colas para los paseos tampoco fueron tan malas. Hemos tenido un gran día.",Malta,Extranjero,No aplica
Isla Mágica,1775652193-6,TripAdvisor,26/10/2025,Un día pésimo,25-Oct,No especificado,"Horroroso, colas interminables de más de dos horas. No debe ser legal. El aforo estaba sobrepasadisimo. Los niños sin poder montarse en nada, colas para el servicio, para comer. Un día pésimo. No volveremos y no lo recomiendo para nada",No especificado,No especificado,No aplica
Plaza de España,1775607971-3,TripAdvisor,16/02/2026,Sevilla en el corazón,26-Feb,Viajó en pareja,Impresionantemente bonita me quede con la boca abierta todo el camino❤ preciosa plaza preciosa Sevilla preciosa gente cada rinconcito de esta ciudad esta cuidada y limpia MERAVILLOSA,No especificado,No especificado,No aplica
Isla Mágica,1775652202-2,TripAdvisor,19/10/2025,DECEPCIONADOS. NO VOLVEREMOS,25-Oct,No especificado,"Todos los años hacemos una visita y este año hemos decidido ir para Halloween...malisima decisión. Si prevén que el parque estará intransitable, las colas en las atracciones interminables y el cierre de los pasajes del terror cerrados una hora antes, que no nos engañen y nos ""roben"", porque el precio de las entradas para encontrarnos la organización del parque de esta forma es de vergüenza.",No especificado,No especificado,No aplica
Isla Mágica,1775652177-3,TripAdvisor,22/12/2025,ISLA MAGICA EN NAVIDAD UNA ESTAFA,25-Dec,No especificado,"Quien tenga pensado ir en Navidad que se ahorre el dinero. Hemos ido con niños pequeños y tienen  solo adaptado el 15% del parque, han disfrazado a 3 chavales de elfo, y a otros 2 uno de cartero real y otra chica pintando caras, ¡FIN! eso es todo!!! Nosotros no llegamos ni a ver el espectaculo ya que estaba lloviendo y no había ni tan siquiera dónde refugiarse.",España,Residente,Andalucía
Real Alcázar de Sevilla,1775608826-9,TripAdvisor,10/1/2026,Primera vez en Sevilla,25-Dec,Viajó en pareja,"El Alcázar es un monumento muy bien cuidado y merece la pena visitarlo, pero no olvide reservar las entradas con antelación porque se llena mucho.",Suiza,Extranjero,No aplica
Plaza de España,1775608011-6,TripAdvisor,10/1/2026,Primera vez en Sevilla,25-Dec,Viajó en pareja,"Es una plaza de visita obligada; para nosotros, estaba a 25 minutos a pie del hotel, pero merece la pena: es muy bonita, está muy bien cuidada y siempre hay animación.",Suiza,Extranjero,No aplica
Catedral de Sevilla,1775608535-4,TripAdvisor,10/1/2026,Primera vez en Sevilla,25-Dec,Viajó en pareja,"La catedral es muy grande, pero parte de ella está siendo reformada, lo que impide verla muy bien. Nos decepcionó un poco no haber podido verla sin los andamios.",Suiza,Extranjero,No aplica
Plaza de España,1775612348-5,TripAdvisor,4/3/2025,La mas visitada de Sevilla,24-Oct,Viajó en pareja,"No soy fan de esta famosa Plaza, con una cantidad de estilos que combinados poco feliz. Estuve alli hace mas de 30 años asi que le di otro paseo y es poco probable que vuelva. Lo que me gusto fueron los musicos ambulantes que le dan un ambiente festivo al lugar. 
Hay que tener cuidado con las pertenencias, demasiadas personas dando vueltas entre los turistas.",Perú,Extranjero,No aplica
Real Alcázar de Sevilla,1775613000-2,TripAdvisor,4/3/2025,Arquitectura e historia a raudales,24-Oct,Viajó en pareja,"Este Palacio realmente impresiona. Es diferente a todo lo que puedas haber visto, una amalgama de estilos arquitctonicos esde el morisco hasta el barroco y mas, un derroche de pompa y elegancia que logra armonizar y dejar en claro cuantos momentos de la historia tuvieron lugar entre sus paredes, sobretodo para los que venimos de las colonias americanas. 
Es imprecindible sacar entrada. Tuvimos que recurrir a un tour para asegurarnos la entrada pues 2 meses antes ya no habian para los dias que estariamos en la ciudad. como no somos afectos a las visitas grupales con largas explicaciones de temas que conocemos, al rato le devolvimos el auifono al guia y visitamos el palacio por nuestra cuenta.
Es muy grande, con muchas secciones y jardines imperdibles y muy extensos. Uno no para de tomar fotos! No se lo deben perder.",Perú,Extranjero,No aplica
Setas de Sevilla,1775613772-1,TripAdvisor,5/3/2025,Vistas en moderna estructura,24-Oct,Viajó en pareja,"Esta estructura moderna ahora esta pintada de blanco y vale la pena pagar los 10 euros para recorrerla por arriba y tener vistas especiales de la ciudad. De noche esta iluminada y se ve muy distinta y tambien especial, muchas fotos!",Perú,Extranjero,No aplica
Catedral de Sevilla,1775612762-9,TripAdvisor,5/3/2025,Imponente,24-Oct,Viajó en pareja,"Fuimos a visitar la Catedral habiendo comprado con antelacion las entradas, las colas son muy largas y si llueve peor. Nos toco mucha lluvia asi que ademas de no perder tiempo evitamos empaparnos en la espera.
El interior es de gran escala y con tantas obras de arte que merecen visitarse, ademas de la tumba de Cristobal Colon.",Perú,Extranjero,No aplica
Torre de Oro,1775613865-6,TripAdvisor,5/3/2025,Vista romantica de noche,24-Oct,Viajó en pareja,"La visitamos por fuera y tomamos muchas fotos de noche, cuando fuimos a cenar
en Triana con vista al rio. Luego cruzamos el puente de San Telmo y tomamos una fotos de la Torre iluminada. muy recomendable y romantico.",Perú,Extranjero,No aplica
Real Alcázar de Sevilla,1775612993-1,TripAdvisor,2/4/2025,Ir con un guía turístico,25-Apr,Viajó en pareja,"Absolutamente imprescindible cuando se encuentra en Sevilla, pero necesita una mejor señalización dentro del palacio. Con solo un boleto de entrada se espera que descargue la aplicación y luego siga las instrucciones muy pobres para experimentar las habitaciones y el jardín en el orden correcto para la mejor comprensión de este increíble palacio. No hay placas explicativas de la exposición, y toda la visita se ve estropeada por la mala señalización y el personal de seguridad muy poco servicial. Vaya aquí pero reserve un tour con un guía.",Reino Unido,Extranjero,No aplica
Setas de Sevilla,1775613763-4,TripAdvisor,2/4/2025,Fuera de este mundo,25-Apr,Viajó en pareja,Solo tienes que rockear allí y experimentar esta estructura casi extraña - una necesidad para cualquier visita a Sevilla - no necesitas entradas,Reino Unido,Extranjero,No aplica
Isla Mágica,1775652265-6,TripAdvisor,12/6/2025,"Super divertido, atracciones geniales,",25-Jun,No especificado,"Aunque este parque no es tan grande como otros, tiene atracciones de todo tipo y mil cosa para divertirte, lo pasamos genial, los niños (y no tan niños) disfrutaron, ademas las colas eran moderadas, como maximo15/20 minutos. Las atracciones de agua  muy divertidas y ademas se agracedia mojarse un poco , ya que estabamos a 40 grados! menos mal que en todos los aseos del parque habia fuentes para poder llenar las botellas, sin duda repetiriamos!!!",España,Residente,Islas Baleares
Real Alcázar de Sevilla,1775612985-6,TripAdvisor,17/05/2025,Buena experiencia,25-May,No especificado,El Alcázar es precioso pero sacar las entradas con antelación porque no he visto una cola mas lenta en mi vida para sacar las entradas en taquilla,No especificado,No especificado,No aplica
Isla Mágica,1775652202-1,TripAdvisor,19/10/2025,Decepcionante,25-Oct,No especificado,"Fuimos para disfrutar el ambiente de Halloween y nos arrepentimos. Colas larguísimas para todo, muchas atracciones cerradas (como los Rápidos del Orinoco, cosa que nos decepcionó muchísimo), nada de pasacalles como se anuncia en la web, gente con comida a pesar de estar prohibido, muchísima gente por todas partes. Además, la comida muy cara. Comimos en la Cantina Criolla y nos cobraron 9€ por una hamburguesa ( sin menú) con lechuga y tomate que resultó no ser ni de carne, sino de una pasta vegetal rebozada. Un pena porque teníamos muchas ganas de ir. El espectáculo final no pudimos verlo porque estaba masificado, y los fuegos artificiales muy pobres, no duraron nada. En las atracciones cero empatía por parte de los monitores, a pesar de tener q esperar de 50 a 60 minutos por cada una. Y el tiempo de la atracción cortísimo. No sé si volveremos pero si lo hacemos iremos en otras fechas. Dinero tirado a la basura.",No especificado,No especificado,No aplica
Setas de Sevilla,1775613743-10,TripAdvisor,28/08/2025,"Después de todo lo que puedes ver en Sevilla por un precio similar, evítate la visita !",25-Aug,Viajó en pareja,"Un lugar bastante caro para lo que ofrece, no hay nada más que unas fotos en la parte más alta, la proyección de mediana calidad y esto por 16 euros?? Datos bastante ordinarios como el número de tornillos que se utilizaron para la construcción, teniendo a unos metros construcciones, como la catedral de Sevilla, por la cual pagas una visita guiada por 20 € y te incluye también el ascenso a la gyralda y el acceso a la iglesia del divino salvador?? Vaya pérdida de dinero… tomar una foto en la parte de abajo, más que suficiente y es gratis!!! Nada recomendable..::",México,Extranjero,No aplica
Palacio de Las Dueñas,1775613247-7,TripAdvisor,20/02/2025,Un punto culminante de Sevilla,25-Feb,Viajó en pareja,Impresionantes jardines! El interior del palacio era excepcionalmente hermoso. Volveré a finales de la primavera para ver los jardines en toda su gloria. La audioguía era excelente - solo suficiente información y fácil de seguir.,Rusia,Extranjero,No aplica
Setas de Sevilla,1775613763-2,TripAdvisor,27/05/2025,Vistas increíbles,25-May,Viajó con amigos,"Merece la pena subir al mirador, las vistas son increíbles. Lo mejor subir sobre las 21 h para ver desde arriba la coreografía de luces que es a partir de las 22 h",No especificado,No especificado,No aplica
Plaza de España,1775607971-4,TripAdvisor,13/02/2026,Maravillosa pieza de arquitectura!,26-Feb,Viajó en pareja,¡Qué pedazo de arquitectura! No abarrotado en febrero. Buena experiencia. Maravilloso parque y museos al lado. A pie del centro histórico de Sevilla.,Finlandia,Extranjero,No aplica
Catedral de Sevilla,1775608517-4,TripAdvisor,21/02/2026,Merece la pena la visita,26-Feb,Viajó en pareja,"Gran catedral. El boleto debe reservarse por adelantado para un espacio específico, lo que siempre es un inconveniente. Sin embargo, sin duda vale la pena la visita.",Finlandia,Extranjero,No aplica
Iglesia Colegial del Divino Salvador,1775613576-1,TripAdvisor,21/02/2026,¡Vale la pena visitarlo!,26-Feb,Viajó en pareja,"Iglesia muy hermosa, boleto combinado con la catedral. Detalles impresionantes en el interior. Definitivamente vale la pena el precio.",Finlandia,Extranjero,No aplica
Palacio de la Condesa de Lebrija,1775613148-1,TripAdvisor,12/9/2025,Extraordinario.,25-Sep,Viajó con amigos,"Todavía una casa particular, este palacio contiene las colecciones de una mujer extraordinaria. Artefactos romanos, Chinos, Japoneses, Precolombinos se sientan junto a los artículos del siglo XIX de la Condesa. 
Las estrellas de la muestra, sin embargo, son los mosaicos romanos que ahora son los pisos de las habitaciones de abajo. Comprados en la cercana Itálica (bien merece una visita, también) son realmente impresionantes. 
Su billete de 15 € le permite pasear por la planta baja, pero también incluye una excelente visita guiada de la primera planta, que es hermosa e increíble a su manera. Intenta llegar 45 minutos antes de la hora del tour para que puedas combinar ambos niveles y realmente tener una idea de The Contessa - una mujer que logró grandes cosas en un tiempo de ""solo hombres"". 
Es una visita obligada en Sevilla. ¡Evite las multitudes y colas del Alcázar y la Catedral y venga aquí!",Reino Unido,Extranjero,No aplica
Casa de Pilatos,1775613379-7,TripAdvisor,31/05/2025,Hermoso palacio,25-May,Viajó en pareja,"Reservamos nuestras entradas con antelación para las 10 am, aunque el palacio no estaba demasiado ocupado en ese momento. Un típico palacio morisco con fantásticas tallas y magníficos azulejos de cerámica de colores en todas partes. Puedes irrumpir en un par de pequeños jardines florales que son extremadamente fotogénicos. Pasamos alrededor de una hora allí, pero solo visitamos la planta baja, ya que también se puede pagar para explorar el primer piso. El palacio es bastante céntrico, así que sin duda recomendaría visitarlo.",Reino Unido,Extranjero,No aplica
Palacio de Las Dueñas,1775613229-6,TripAdvisor,8/10/2025,Experiencia muy sobrevalorada,25-Oct,Viajó en pareja,"Hermosa parte delantera (pero se puede ver que sin pagar para entrar). Bonitos, pero pequeños y no muy bien cuidados jardines. 

En cuanto a la casa, se limita a la planta baja. Cada habitación está acordonada y detrás del cableado hay un desorden total de muebles desorganizados, pinturas y carteles hacinados en el espacio con poco cuidado en la presentación. La mayor parte de lo que hay parece ser de muy mala calidad. Muy pocas de las pinturas parecen tener mérito. Todo da la impresión de que pensaban que necesitaban llenar cada espacio con cualquier cosa que justificara el alto precio de la entrada y que terminaron yendo a espacios libres de la casa para llenar el vacío. ¡Mucho menos hubiera sido mucho más! 

Es una casa preciosa, pero es una experiencia muy cara a 14 euros. Por ejemplo, el impresionante Museo de Bellas Artes es solo 1. 5 euros y alberga una increíble colección de arte sevillano en un edificio verdaderamente hermoso con hermosos jardines. Se puede acceder al Alcázar, a la Catedral y Giralda o a la pasarela del Seta por el mismo precio. En resumen, están tomando la P.",Reino Unido,Extranjero,No aplica
Isla Mágica,1775652240-10,TripAdvisor,7/8/2025,"Una tarde maravillosa para disfrutar con los más pequeños, en las calurosas tardes de agosto en Sevilla.",25-Aug,No especificado,"La promoción de los viernes es genial para conocer el parque.
Da tiempo a montarte en todas las atracciones y ver el espectáculo final",No especificado,No especificado,No aplica
Isla Mágica,1775652265-1,TripAdvisor,21/06/2025,Tienen mucho que mejorar en tema comida respecto a personas alérgicas. Un cero ante un problema de rescate de un animal.,25-Jun,No especificado,"Muy bien todo excepto por dos temas.

Nos encontramos un caso de rescate de un gato bebé en las instalaciones y la responsable nos dio un trato pésimo exigiendo que si en el plazo de una hora nadie recogía al animal ( con quemaduras y al borde del colapso de haber estado atrapado en un coche por la cabeza ) lo ponen en la puerta de la calle. Tal cual. Un cero para ANA, la responsable en ese momento. 

Por otro lado, a la hora de comer, siendo una persona alérgica, no disponen de carta de alérgenos, lo cual no es legal. Y la única opción que me dan es que me vaya a otro bar de la instalación. No tienen ni etiquetas de los ingredientes de la comida que venden. Otro CERO para ellos.",No especificado,No especificado,No aplica
Setas de Sevilla,1775613754-5,TripAdvisor,30/07/2025,Absolutamente decepcionante,25-Jul,No especificado,"Una experiencia decepcionante, no deberían ofrecer esto antes de las 20 horas en verano,así ofrezcan paraguas hace demasiado calor para caminar al aire libre, y tras del hecho la experiencia ""interactiva"" Feeling Sevilla no es nada más que un vídeo con ventiladores, no entiendo porque esto es el lugar más recomendado en sevilla, mejor paguen una entrada al alcazar y a la catedral que eso si les enseña algo.",No especificado,No especificado,No aplica
Palacio de Las Dueñas,1775613229-9,TripAdvisor,28/09/2025,¡Un sueño!,25-Sep,Viajó en pareja,"¡El palacio es como un sueño! ¡Los colores, el edificio, las habitaciones, el jardín, los exuberantes jardines! Estuvimos allí en septiembre y era tan verde y exuberante, que solo puedo imaginar lo increíble que debe ser en primavera / verano. Increíble, es una necesidad absoluta para Sevilla, justo en la cima!",No especificado,No especificado,No aplica
